Performance Measure,Mean,Standard Deviation
Classification_Accuracy,0.4765,0.021920323
Recall_1.0,0.071428575,0.10101526
Recall_2.0,0.4865695,0.57469255
Recall_3.0,0.48518255,0.6288188
Recall_4.0,0.8002321,0.11183354
Precision_2.0,0.51651037,0.011426517
Precision_1.0,0.125,0.17677669
Precision_4.0,0.34300065,0.12802221
Precision_3.0,0.5946009,0.10191635
F1_1.0,0.09090909,0.12856488
F1_3.0,0.37275216,0.4190584
F1_2.0,0.39353216,0.35977837
F1_4.0,0.46691194,0.10550633
Global_F1,0.33102632,0.073337816

,Cycle0,Cycle1
Filter Time (Seconds),0.0,0.0,
Test Time (Minutes),0.0069,0.00705,
